feature,abs_IG
chiral=unspecified,3.7711892
numH=0,1.5612166
Z=C,0.9576183
deg=3,0.85402775
charge=0,0.6805229
deg=4,0.58140457
Z=other,0.45744488
aromatic,0.45094198
Z=S,0.38952583
numH=2,0.29075378
hyb=sp3,0.26227424
hyb=sp2,0.2501233
hyb=sp,0.23562543
numH=1,0.20155737
deg=2,0.1983898
numH=3,0.090444505
in_ring,0.064893946
Z=O,0.05536496
charge=-1,0.024015237
deg=0,0.017863516
deg=1,0.011807893
hyb=other,0.010497721
charge=1,0.006798342
Z=Na,0.0040151263
Z=H,0.0
Z=N,0.0
Z=B,0.0
Z=P,0.0
Z=Cl,0.0
Z=F,0.0
Z=Si,0.0
Z=Fe,0.0
Z=Ca,0.0
Z=Mg,0.0
Z=K,0.0
Z=I,0.0
Z=Br,0.0
Z=Zn,0.0
Z=Cu,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
charge=-2,0.0
charge=2,0.0
numH=4,0.0
chiral=CW,0.0
chiral=CCW,0.0
