model,fp_bits,ROC-AUC (mean),ROC-AUC (std),PRC-AUC (mean),PRC-AUC (std),Average Precision (mean),Average Precision (std),MCC (mean),MCC (std),Accuracy (mean),Accuracy (std),F1 Score (mean),F1 Score (std),fit_secs (mean),fit_secs (std)
LogReg,1024,0.8920137317036367,0.0042180181393923,0.7534576631440909,0.0092365315363488,0.7563575108561085,0.0091702712052581,0.5622582997385573,0.0298315941719626,0.8108747044917258,0.012453491433632,0.6945762937087349,0.0216908827436621,1.054198980331421,0.1160006955989993
LogReg,2048,0.882761807756149,0.0085601905004575,0.7492081738479444,0.0225644892417182,0.7515573456943428,0.0219987406790664,0.5380098511086758,0.0349844979555027,0.8014184397163121,0.0141843971631205,0.6742089511559769,0.0270459103299403,3.082147200902303,0.1215305247335776
LogReg,4096,0.8645125999698204,0.0053234614215216,0.7201001953131584,0.0191535267475964,0.7226762209814367,0.0187441033030268,0.4559105569750517,0.0198485696718026,0.7683215130023641,0.0073817943243479,0.6109303270440729,0.0179729572444594,7.758191108703613,0.3016117440996169
RandomForest,1024,0.8853553644182887,0.0017885333441918,0.7014259851135419,0.0070861754877348,0.7087251084911904,0.0069215442051693,0.4713969380587071,0.0230651707085175,0.776595744680851,0.0093820968477468,0.6087371878434681,0.0147353236354143,3.068225860595703,1.0122469015346356
RandomForest,2048,0.8837803681907349,0.0019391436899903,0.7286451441147598,0.0085038339644774,0.7317204780486427,0.0083438951107981,0.4355358244867835,0.0236259391583194,0.7635933806146573,0.0089241541788069,0.5706705350766798,0.0204840119528485,3.351231257120768,0.1163416328459877
RandomForest,4096,0.8582503395201448,0.0071220594431024,0.6634542357942467,0.0122064295264089,0.6710418704147969,0.0121258642260074,0.3368419126166896,0.0226174231996782,0.7281323877068558,0.007381794324348,0.476588355918699,0.0291645974932584,8.112454811731974,0.2074459407252175
SVM,1024,0.8752074845329711,0.0059460020932838,0.6847474256408216,0.0043376054689895,0.6922299606506339,0.0043253227595702,0.477217878528557,0.0252683812740694,0.776595744680851,0.0093820968477468,0.62833828683434,0.023243655250464,21.273035844167072,4.155382375893445
SVM,2048,0.8635223328806397,0.0069528749594027,0.6996540150096187,0.0089380004047603,0.7021234985559245,0.0091171663011565,0.4319017502720905,0.0118380144161129,0.7612293144208038,0.0040946827602101,0.5772317188983855,0.0143755298257739,56.55823596318563,1.0120990690815044
SVM,4096,0.83274860419496,0.0103586622066688,0.6622555794696086,0.0528065008122544,0.6674286659828863,0.0498206505497591,0.3819108417028995,0.0277525367022623,0.7423167848699763,0.007381794324348,0.5320234861841304,0.0463821701715483,122.38563187917072,4.50842523651862
XGBoost,1024,0.9095650369699714,0.0019438852997274,0.7704577833450251,0.0109555568475606,0.7724268049794135,0.0110768557647272,0.629377527014137,0.0232472372679929,0.8368794326241135,0.0093820968477467,0.7498384674770482,0.0175170077261718,2.690951108932495,0.6605543674092675
XGBoost,2048,0.9000961973743776,0.0021579125130906,0.7403729706957213,0.025853693924089,0.7413118596182632,0.0251602999992916,0.5946479180587477,0.0378716905669598,0.8215130023640662,0.0147635886486959,0.7264561487367929,0.0296868783065713,4.7190554936726885,0.3667830110678799
XGBoost,4096,0.9037366078165082,0.0034300746628297,0.7582623538328153,0.0206169523899969,0.7608290764080983,0.0199270878989253,0.6163250979161293,0.0362751758686573,0.8321513002364066,0.014763588648696,0.7386624936698215,0.0275265482628254,9.455498059590658,0.3681369191916561
