Strategy,Fold,Model,EvalSetSize,ROC-AUC,PRC-AUC,Accuracy,F1 Score,MCC,Recall,Precision,False Positives,False Positive Rate
random_10k,1,Logistic Regression,2705,0.8236430160450467,0.2821790835630091,0.8650646950092421,0.24742268041237114,0.2664191642327527,0.6382978723404256,0.1534526854219949,331,0.12677135197242437
random_10k,1,SVM,2705,0.8301091128368523,0.23489153836151094,0.9208872458410351,0.33125,0.3293294025152226,0.5638297872340425,0.2345132743362832,173,0.06625813864419762
random_10k,1,Random Forest,2705,0.8731308620647507,0.40272213055988165,0.9349353049907578,0.3888888888888889,0.38535063391468793,0.5957446808510638,0.28865979381443296,138,0.05285331290693221
random_10k,1,Decision Tree,2705,0.7328630100149124,0.3570907515031905,0.7563770794824399,0.16050955414012738,0.18044953429404048,0.6702127659574468,0.09117221418234443,628,0.24052087322864804
random_10k,1,KNN,2705,0.7700400107564559,0.27300236994609356,0.9493530499075785,0.35071090047393366,0.3267923675565551,0.39361702127659576,0.3162393162393162,80,0.030639601685178094
random_10k,1,XGBoost,2705,0.8575727079377755,0.33575922547790005,0.8717190388170055,0.27253668763102723,0.2992821110484038,0.6914893617021277,0.16971279373368145,318,0.12179241669858291
random_10k,2,Logistic Regression,2705,0.788028553501145,0.24447251474653048,0.8661737523105361,0.21982758620689655,0.2240592151454415,0.5425531914893617,0.13783783783783785,319,0.12217541171964764
random_10k,2,SVM,2705,0.8165779802309377,0.22187933400677445,0.9182994454713493,0.2984126984126984,0.28976312491053485,0.5,0.21266968325791855,174,0.06664113366526235
random_10k,2,Random Forest,2705,0.8388670681323697,0.3136330954043314,0.933826247689464,0.3443223443223443,0.3311314235862545,0.5,0.26256983240223464,132,0.050555342780543855
random_10k,2,Decision Tree,2705,0.6801441528068646,0.29344860630878244,0.7611829944547135,0.14775725593667546,0.15442915365303825,0.5957446808510638,0.08433734939759036,608,0.23286097280735352
random_10k,2,KNN,2705,0.7815441218413096,0.2329646130201009,0.9545286506469501,0.33513513513513515,0.3116448060234512,0.32978723404255317,0.34065934065934067,60,0.02297970126388357
random_10k,2,XGBoost,2705,0.8006592403660454,0.20156898674917353,0.8539741219963032,0.21157684630738524,0.21937748887481667,0.5638297872340425,0.13022113022113022,354,0.13558023745691306
random_10k,3,Logistic Regression,2705,0.7699524108314252,0.2229229616283094,0.8791127541589648,0.2482758620689655,0.2563288637291982,0.574468085106383,0.15835777126099707,287,0.10991957104557641
random_10k,3,SVM,2705,0.7704943080420805,0.26702838454011335,0.9134935304990758,0.2994011976047904,0.295735822284788,0.5319148936170213,0.20833333333333334,190,0.07276905400229797
random_10k,3,Random Forest,2705,0.7884400694280336,0.3424079325135472,0.9434380776340111,0.37037037037037035,0.35233143395501,0.4787234042553192,0.30201342281879195,104,0.03983148219073152
random_10k,3,Decision Tree,2705,0.7124440786525095,0.26839195799249255,0.7537892791127542,0.1483375959079284,0.15801603793759672,0.6170212765957447,0.08430232558139535,630,0.24128686327077747
random_10k,3,KNN,2705,0.7718266417855716,0.24369006799463158,0.9512014787430684,0.35294117647058826,0.3288414056648376,0.3829787234042553,0.32727272727272727,74,0.028341631558789736
random_10k,3,XGBoost,2705,0.782240846826438,0.27034545280777617,0.8931608133086876,0.24935064935064935,0.24682096899850434,0.5106382978723404,0.16494845360824742,243,0.09306779011872846
random_10k,4,Logistic Regression,2705,0.8144735448226407,0.18394292613972818,0.8621072088724584,0.21473684210526317,0.2191049519316097,0.5425531914893617,0.13385826771653545,330,0.12638835695135964
random_10k,4,SVM,2705,0.8021382530537741,0.22379344659456749,0.9205175600739371,0.2711864406779661,0.25409614962370153,0.425531914893617,0.19900497512437812,161,0.06166219839142091
random_10k,4,Random Forest,2705,0.8194443312662467,0.2665541219687686,0.944547134935305,0.3697478991596639,0.3506171797338809,0.46808510638297873,0.3055555555555556,100,0.038299502106472615
random_10k,4,Decision Tree,2705,0.6467054279358198,0.24403099010689716,0.8731977818853974,0.18912529550827423,0.17641880002412474,0.425531914893617,0.12158054711246201,289,0.11068556108770586
random_10k,4,KNN,2705,0.7666154648500209,0.18531183292381995,0.9293900184842884,0.2450592885375494,0.2186154358145287,0.32978723404255317,0.1949685534591195,128,0.04902336269628495
random_10k,4,XGBoost,2705,0.7907563744224517,0.25462391161120757,0.9020332717190388,0.2618384401114206,0.25660901308244455,0.5,0.17735849056603772,218,0.0834929145921103
random_10k,5,Logistic Regression,2705,0.8026944107173415,0.2689990819420597,0.8658040665434381,0.22929936305732485,0.23836980314120543,0.574468085106383,0.14323607427055704,323,0.12370739180390655
random_10k,5,SVM,2705,0.7937551439490862,0.2870173535825405,0.9208872458410351,0.2913907284768212,0.2785961332095143,0.46808510638297873,0.21153846153846154,164,0.06281118345461509
random_10k,5,Random Forest,2705,0.8226101518127074,0.35511297529268093,0.9426987060998152,0.37751004016064255,0.3614099239484709,0.5,0.3032258064516129,108,0.04136346227499042
random_10k,5,Decision Tree,2705,0.7433627777732507,0.2586404115063861,0.8964879852125693,0.2391304347826087,0.23066351958314257,0.46808510638297873,0.16058394160583941,230,0.08808885484488702
random_10k,5,KNN,2705,0.7682228216139574,0.23305479160205694,0.9456561922365989,0.3466666666666667,0.32390681456219533,0.4148936170212766,0.29770992366412213,92,0.035235541937954806
random_10k,5,XGBoost,2705,0.8136932943275993,0.29367275795319664,0.8717190388170055,0.23399558498896247,0.24110557082335574,0.5638297872340425,0.14763231197771587,306,0.1171964764458062
